id,entry
422,2018-06-01 09-23-55 LAMPD_OFF -1 -1
423,2018-06-01 09-23-55 LAMPA_OFF -1 -1
424,2018-06-01 09-23-55 LAMPC_OFF -1 -1
425,2018-06-01 09-23-55 LAMPB_OFF -1 -1
426,2018-06-01 09-24-01 AWAKE_ON -1 -1
427,2018-06-01 09-24-06 BALLASTS_ON 17 25
428,2018-06-01 09-24-06 LAMPA_ON 17 -1
429,2018-06-01 09-24-06 LAMPB_ON 17 -1
430,2018-06-01 09-24-06 LAMPC_ON 17 -1
431,2018-06-01 09-24-06 LAMPD_ON 17 -1
432,2018-06-01 09-24-16 AWAKE_OFF -1 -1
433,2018-06-01 09-24-16 BALLASTS_OFF -1 -1
434,2018-06-01 09-24-17 LAMPD_OFF -1 -1
435,2018-06-01 09-24-17 LAMPA_OFF -1 -1
436,2018-06-01 09-24-17 LAMPC_OFF -1 -1
437,2018-06-01 09-24-17 LAMPB_OFF -1 -1
438,2018-06-01 10-29-59 AWAKE_ON -1 -1
439,2018-06-01 10-30-04 BALLASTS_ON 17 26
440,2018-06-01 10-30-04 LAMPA_ON 17 -1
441,2018-06-01 10-30-04 LAMPB_ON 17 -1
442,2018-06-01 10-30-04 LAMPC_ON 17 -1
443,2018-06-01 10-30-04 LAMPD_ON 17 -1
444,2018-06-01 10-30-25 BALLASTS_OFF -1 -1
445,2018-06-01 10-30-25 LAMPD_OFF -1 -1
446,2018-06-01 10-30-25 LAMPA_OFF -1 -1
447,2018-06-01 10-30-25 LAMPC_OFF -1 -1
448,2018-06-01 10-30-26 LAMPB_OFF -1 -1
449,2018-06-01 10-30-30 BALLASTS_ON 18 27
450,2018-06-01 10-30-30 BALLASTS_OFF -1 -1
451,2018-06-01 10-30-30 LAMPA_ON 18 -1
452,2018-06-01 10-30-30 LAMPB_ON 18 -1
453,2018-06-01 10-30-30 LAMPC_ON 18 -1
454,2018-06-01 10-30-30 LAMPD_ON 18 -1
455,2018-06-01 10-30-30 LAMPD_OFF -1 -1
456,2018-06-01 10-30-30 LAMPA_OFF -1 -1
457,2018-06-01 10-30-31 LAMPC_OFF -1 -1
458,2018-06-01 10-30-31 LAMPB_OFF -1 -1
459,2018-06-01 10-30-35 BALLASTS_ON 18 28
460,2018-06-01 10-30-35 FAN_ERROR -1 -1
461,2018-06-01 10-30-35 BALLASTS_OFF -1 -1
462,2018-06-01 10-30-35 LAMPA_ON 18 -1
463,2018-06-01 10-30-35 LAMPB_ON 18 -1
464,2018-06-01 10-30-35 LAMPC_ON 18 -1
465,2018-06-01 10-30-35 LAMPD_ON 18 -1
466,2018-06-01 10-30-35 LAMPD_OFF -1 -1
467,2018-06-01 10-30-36 LAMPA_OFF -1 -1
468,2018-06-01 10-30-36 LAMPC_OFF -1 -1
469,2018-06-01 10-30-36 LAMPB_OFF -1 -1
470,2018-06-01 10-30-47 AWAKE_OFF -1 -1
471,2018-06-01 10-30-50 AWAKE_ON -1 -1
472,2018-06-01 10-30-54 AWAKE_OFF -1 -1
473,2018-06-01 10-30-54 MAIN_OFF -1 -1
